grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
Meals On Wheels of San Francisco,/grants/grantee/meals-on-wheels-of-san-francisco,2017,"$1,000",Community,,
Media Matters for America,/grants/grantee/media-matters-for-america,2017,"$50,000",Gay and Lesbian Rights,Research & Communications,"For the Equality Matters project to promote accurate reporting of policy debates around issues of LGBT equality. $50,000"
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2017,"$150,000",Immigrant Rights,California Statewide and Local Policy,"To protect and promote the civil rights of Latino immigrants in California. $150,000"
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2017,"$55,000",Leadership,Investing in Our Grantees,"For the California Immigrant Youth Justice Alliance project, to cultivate its leadership, fundraising, and organizing capabilities. $55,000"
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2017,"$60,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Youth Justice Alliance project to organize and develop the leadership of Dreamers. $60,000"
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2017,"$15,000",Leadership,Investing in Our Grantees,
Mobilize the Immigrant Vote,/grants/grantee/mobilize-the-immigrant-vote,2017,"$50,000",Leadership,Investing in Our Grantees,"To strengthen the leadership of a new senior team. $50,000"
Mobilize the Immigrant Vote,/grants/grantee/mobilize-the-immigrant-vote,2017,"$15,000",Leadership,Investing in Our Grantees,
More Light Presbyterians,/grants/grantee/more-light-presbyterians,2017,"$30,000",Leadership,Investing in Our Grantees,"For strengthening board governance and strategic communications. $30,000"
More Light Presbyterians,/grants/grantee/more-light-presbyterians,2017,"$10,000",Gay and Lesbian Rights,Public Education,
More Light Presbyterians,/grants/grantee/more-light-presbyterians,2017,"$15,000",Leadership,Investing in Our Grantees,
More Light Presbyterians,/grants/grantee/more-light-presbyterians,2017,"$62,500",Gay and Lesbian Rights,Public Education,"To coordinate a coalition of Fund grantees working to educate North Carolinians about the need to protect LGBT people from discrimination. $62,500"
Movement Advancement Project,/grants/grantee/movement-advancement-project,2017,"$200,000",Gay and Lesbian Rights,Research & Communications,"For messaging research and technical assistance to advance equal rights for LGBT people. $200,000"
Movement Advancement Project,/grants/grantee/movement-advancement-project,2017,"$100,000",Gay and Lesbian Rights,Research & Communications,"To develop and test ads and other tools to educate and engage the LGBT community around the importance of the Masterpiece Supreme Court case. $100,000"
Museum of Modern Art,/grants/grantee/museum-of-modern-art,2017,"$5,000",Community,,
Napa Valley Community Foundation,/grants/grantee/napa-valley-community-foundation,2017,"$25,000",Community,,
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2017,"$50,000",Leadership,Investing in Our Grantees,"To support succession planning. $50,000"
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2017,"$15,000",Leadership,Investing in Our Grantees,
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2017,"$200,000",Gay and Lesbian Rights,Public Education,"To execute a campaign to educate the LGBT community about the importance of the Masterpiece Supreme Court case. $200,000"
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2017,"$200,000",Gay and Lesbian Rights,Litigation,"To pursue litigation defending marriage equality and advancing nondiscrimination protections for LGBT people. $200,000"
National Center for Transgender Equality,/grants/grantee/national-center-for-transgender-equality,2017,"$150,000",Gay and Lesbian Rights,Public Education,"To advance and defend federal and state agency policy reforms protecting transgender people from discrimination. $150,000"
National Committee for Responsive Philanthropy,/grants/grantee/national-committee-for-responsive-philanthropy,2017,"$15,000",Community,,
National Day Laborer Organizing Network,/grants/grantee/national-day-laborer-organizing-network,2017,"$200,000",Immigrant Rights,California Statewide and Local Policy,"To organize day laborers to protect and expand immigrant rights. $200,000"
National Immigration Forum,/grants/grantee/national-immigration-forum,2017,"$175,000",Immigrant Rights,Federal Immigration Reform,"To amplify faith, business, and law enforcement voices in support of immigrant rights. $175,000"
National Immigration Law Center,/grants/grantee/national-immigration-law-center,2017,"$50,000",Leadership,Fundraising,"To integrate digital communications with fundraising in order to cultivate donor retention and stewardship. $50,000"
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2017,"$15,000",Leadership,Investing in Our Grantees,
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2017,"$15,000",Leadership,Investing in Our Grantees,
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2017,"$15,000",Gay and Lesbian Rights,,
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2017,"$7,500",Gay and Lesbian Rights,,
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2017,"$250,000",Gay and Lesbian Rights,Nondiscrimination,"For the Institute for Welcoming Resources project to amplify the voices of people of faith in educating the public about the need to protect LGBT people from discrimination $250,000 over 18 months (2017-2019)"
National Queer Asian Pacific Islander Alliance,/grants/grantee/national-queer-asian-pacific-islander-alliance,2017,"$15,000",Leadership,Investing in Our Grantees,
National Queer Asian Pacific Islander Alliance,/grants/grantee/national-queer-asian-pacific-islander-alliance,2017,"$40,000",Leadership,Investing in Our Grantees,"For strategic planning to support growth. $40,000"
NEO Philanthropy,/grants/grantee/neo-philanthropy,2017,"$500,000",Immigrant Rights,California Civic Participation,"For the Four Freedoms Fund and the Asian American Pacific Islander Civic Engagement Fund. $500,000"
NEO Philanthropy,/grants/grantee/neo-philanthropy,2017,"$50,000",Leadership,Strengthening Social Movements,"For the Social Transformation Project to increase the capabilities of consultants serving social justice leaders and networks. $50,000"
Netroots Connect,/grants/grantee/netroots-connect,2017,"$30,000",Gay and Lesbian Rights,Research & Communications,"To educate LGBT bloggers and journalists about the need for immigration reform. $30,000"
"New Israel Fund, San Francisco",/grants/grantee/new-israel-fund-san-francisco,2017,"$5,000",Community,,
New Teacher Center,/grants/grantee/new-teacher-center,2017,"$85,000",Education Equity,PreK-12 Systems Change,"To support professional development for senior leaders and teachers to improve teaching and learning for the most vulnerable students in San Francisco. $85,000"
NEXT for Autism,/grants/grantee/next-for-autism,2017,$250,Community,,
Northern California Grantmakers,/grants/grantee/northern-california-grantmakers,2017,"$17,500",Community,,
Northern Plains Resource Council,/grants/grantee/northern-plains-resource-council,2017,"$10,000",Community,,
Oakland Community Organizations,/grants/grantee/oakland-community-organizations,2017,"$2,500",Community,,
Oakland Museum of California Foundation,/grants/grantee/oakland-museum-of-california-foundation,2017,"$2,500",Community,,
Palm Center,/grants/grantee/palm-center,2017,"$50,000",Gay and Lesbian Rights,Public Education,"For rapid response communications in opposition to reinstating the ban on transgender people serving in the military. $50,000"
Parents for Public Schools,/grants/grantee/parents-for-public-schools,2017,"$30,000",Leadership,Investing in Our Grantees,
Parents for Public Schools,/grants/grantee/parents-for-public-schools,2017,"$15,000",Leadership,Investing in Our Grantees,
Parents for Public Schools,/grants/grantee/parents-for-public-schools,2017,"$140,000",Education Equity,Early Success and PreK-3rd,"To support parent engagement in advancing education equity in the San Francisco Unified School District. $140,000 over two years (2017-2019)"
PEAK Grantmaking,/grants/grantee/peak-grantmaking,2017,"$3,500",Community,,
PICO National Network,/grants/grantee/pico-national-network,2017,"$15,000",Leadership,Investing in Our Grantees,
Pride Foundation,/grants/grantee/pride-foundation,2017,"$160,000",Gay and Lesbian Rights,Research & Communications,"For messaging research to increase public support for nondiscrimination protections. $160,000"
Pride Foundation,/grants/grantee/pride-foundation,2017,"$100,000",Gay and Lesbian Rights,Public Education,"To support public education around the importance of religious liberties and nondiscrimination protections for LGBT people. $100,000"
Proteus Fund,/grants/grantee/proteus-fund,2017,"$200,000",Gay and Lesbian Rights,Public Education,"For the Rights, Faith & Democracy Collaborative to advance basic human rights and affirm religious liberties. $200,000"
Public Religion Research Institute,/grants/grantee/public-religion-research-institute,2017,"$150,000",Gay and Lesbian Rights,Research & Communications,"To study the attitudes of people of faith in all 50 states on LGBT issues $150,000"
Raphael House of San Francisco,/grants/grantee/raphael-house-of-san-francisco,2017,"$25,000",Community,,
Reconciling Ministries Network,/grants/grantee/reconciling-ministries-network,2017,"$15,000",Leadership,Investing in Our Grantees,
ReconcilingWorks: Lutherans for Full Participation,/grants/grantee/reconcilingworks-lutherans-for-full-participation,2017,"$15,000",Leadership,Investing in Our Grantees,
Red Tab Foundation,/grants/grantee/red-tab-foundation,2017,"$5,000",Community,,
Red Tab Foundation,/grants/grantee/red-tab-foundation,2017,"$25,000",Community,,
Rockwood Leadership Institute,/grants/grantee/rockwood-leadership-institute,2017,"$100,000",Leadership,Strengthening Social Movements,"For Fellowships for social justice leaders and for new program development. $100,000"
Ruby's Place,/grants/grantee/ruby-s-place,2017,"$15,000",Community,,
San Diego LGBT Center,/grants/grantee/san-diego-lgbt-center,2017,"$15,000",Leadership,Investing in Our Grantees,
San Diego LGBT Center,/grants/grantee/san-diego-lgbt-center,2017,"$150,000",Immigrant Rights,California Civic Participation,"For the Engage San Diego project to increase civic participation of underrepresented groups in the county. $150,000"
San Francisco Ballet,/grants/grantee/san-francisco-ballet,2017,"$1,000",Community,,
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2017,"$200,000",Community,,"For an advised fund. $200,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2017,"$100,000",Education Equity,PreK-12 Systems Change,"For the HOPE SF project to improve school attendance and achievement for students living in public housing. $100,000"
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2017,"$12,000",Community,,
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2017,"$10,000",Community,,
San Francisco Foundation,/grants/grantee/san-francisco-foundation,2017,"$5,000",Community,,
San Francisco Free Clinic,/grants/grantee/san-francisco-free-clinic,2017,"$1,000",Community,,
San Francisco Heritage,/grants/grantee/san-francisco-heritage,2017,"$50,000",Community,,"For additional support of renovations to the Haas-Lilienthal House. $50,000"
San Francisco Interfaith Council,/grants/grantee/san-francisco-interfaith-council,2017,"$20,000",Community,,
San Francisco Symphony,/grants/grantee/san-francisco-symphony,2017,"$1,000",Community,,
San Francisco Symphony,/grants/grantee/san-francisco-symphony,2017,"$10,000",Community,,
Services and Advocacy for GLBT Elders,/grants/grantee/services-and-advocacy-for-glbt-elders,2017,"$55,000",Leadership,Investing in Our Grantees,"To increase diversity and invest in its second tier of leaders. $55,000"
"Services, Immigrant Rights and Education Network (SIREN)",/grants/grantee/services-immigrant-rights-and-education-network-siren,2017,"$85,000",Immigrant Rights,California Statewide and Local Policy,"To increase citizenship and defend immigrant rights in the South Bay. $85,000"
"Services, Immigrant Rights and Education Network (SIREN)",/grants/grantee/services-immigrant-rights-and-education-network-siren,2017,"$65,000",Leadership,Investing in Our Grantees,"For board and senior team development that supports rapid growth. $65,000"
"Services, Immigrant Rights and Education Network (SIREN)",/grants/grantee/services-immigrant-rights-and-education-network-siren,2017,"$85,000",Immigrant Rights,California Statewide and Local Policy,"To increase citizenship and defend immigrant rights in the South Bay. $85,000"
"Services, Immigrant Rights and Education Network (SIREN)",/grants/grantee/services-immigrant-rights-and-education-network-siren,2017,"$5,000",Immigrant Rights,,
Sexual Health Innovations,/grants/grantee/sexual-health-innovations,2017,"$10,000",Gay and Lesbian Rights,,
SPARK SF Public Schools,/grants/grantee/spark-sf-public-schools,2017,"$170,000",Education Equity,PreK-12 Systems Change,"To support closing the achievement gap and strengthening the capacity of the district's central office. $170,000"
SPARK SF Public Schools,/grants/grantee/spark-sf-public-schools,2017,"$500,000",Education Equity,Early Success and PreK-3rd,"To support ""leading for change"" and closing the achievement gap, including PreK-3 alignment. $500,000"
SPARK SF Public Schools,/grants/grantee/spark-sf-public-schools,2017,"$10,000",Education Equity,,
"Spitfire Strategies, LLC",/grants/grantee/spitfire-strategies-llc,2017,"$48,200",Gay and Lesbian Rights,Research & Communications,"To help coordinate the Fund's eighth annual convening of LGBT newspaper editors and bloggers. $48,200"
"Spitfire Strategies, LLC",/grants/grantee/spitfire-strategies-llc,2017,"$42,000",Leadership,Strengthening Social Movements,"To support executive-level strategic communications training and coaching. $42,000"
St. Mary's Center,/grants/grantee/st-mary-s-center,2017,"$15,000",Community,,
St. Vincent de Paul Society of San Francisco,/grants/grantee/st-vincent-de-paul-society-of-san-francisco,2017,"$25,000",Community,,
Stanford University - Center for Education Policy Analysis,/grants/grantee/stanford-university-center-for-education-policy-analysis,2017,"$80,000",Education Equity,PreK-12 Systems Change,"To develop reports synthesizing equity findings from California education policy research project and organize related convenings. $80,000"
Stern Grove Festival Association,/grants/grantee/stern-grove-festival-association,2017,"$1,500",Community,,
Stern Grove Festival Association,/grants/grantee/stern-grove-festival-association,2017,"$15,000",Community,,
Swords to Plowshares,/grants/grantee/swords-to-plowshares,2017,"$10,000",Community,,
"Tandem, Partners in Early Learning",/grants/grantee/tandem-partners-in-early-learning,2017,"$100,000",Education Equity,Early Success and PreK-3rd,"$100,000 to promote early literacy for high-need children in San Francisco"
The Reformation Project,/grants/grantee/the-reformation-project,2017,"$100,000",Gay and Lesbian Rights,Communities of Faith,"To educate the public about growing support in the evangelical movement for full inclusion of LGBT people. $100,000"
Tides Center,/grants/grantee/tides-center,2017,"$10,000",Leadership,Advancing Knowledge and Learning,
Tides Center,/grants/grantee/tides-center,2017,"$52,000",Leadership,Investing in Our Grantees,"For the San Francisco Beacon Initiative to build the founding governing board and senior leadership team necessary for expansion. $52,000"
Tides Center,/grants/grantee/tides-center,2017,"$16,734",Leadership,,
Tides Center,/grants/grantee/tides-center,2017,"$10,000",Leadership,Advancing Knowledge and Learning,
Tides Center,/grants/grantee/tides-center,2017,"$16,734",Leadership,,
Transgender Law Center,/grants/grantee/transgender-law-center,2017,"$21,000",Leadership,Investing in Our Grantees,
Transgender Law Center,/grants/grantee/transgender-law-center,2017,$500,Gay and Lesbian Rights,Litigation,
Transgender Law Center,/grants/grantee/transgender-law-center,2017,"$15,000",Leadership,Investing in Our Grantees,
Tri-City Volunteers,/grants/grantee/tri-city-volunteers,2017,"$25,000",Community,,
TSNE MissionWorks,/grants/grantee/tsne-missionworks,2017,"$20,000",Leadership,Advancing Knowledge and Learning,
TSNE MissionWorks,/grants/grantee/tsne-missionworks,2017,$500,Community,,
U.C. Berkeley Foundation,/grants/grantee/u-c-berkeley-foundation,2017,"$30,000",Community,,"To maintain the Undocumented Student Program's website portal and its ability to help other universities create Dreamer-supportive programs and policies. $30,000"
U.C. Berkeley Foundation,/grants/grantee/u-c-berkeley-foundation,2017,"$25,000",Community,,
UFW Foundation,/grants/grantee/ufw-foundation,2017,"$15,000",Leadership,Investing in Our Grantees,
United Council of Human Services,/grants/grantee/united-council-of-human-services,2017,"$15,000",Community,,
United Way of the Bay Area,/grants/grantee/united-way-of-the-bay-area,2017,"$20,000",Community,,
United We Dream Network,/grants/grantee/united-we-dream-network,2017,"$300,000",Immigrant Rights,Federal Immigration Reform,"To advocate for undocumented young people and their families. $300,000 over 18 months (2017-2019)"
United We Dream Network,/grants/grantee/united-we-dream-network,2017,"$50,000",Leadership,Fundraising,"To help an innovator in online fundraising develop a plan for growth and scale. $50,000"
"University of California, Berkeley",/grants/grantee/university-of-california-berkeley,2017,"$20,000",Community,,
University of Southern California - Center for the Study of Immigrant Integration,/grants/grantee/university-of-southern-california-center-for-the-study-of-immigrant-integration,2017,"$60,000",Immigrant Rights,Federal Immigration Reform,"For the Center for the Study of Immigrant Integration to conduct, coordinate and synthesize data analysis of California, including support for Fund-initiated projects. $60,000"
Wheaton College,/grants/grantee/wheaton-college,2017,"$5,000",Community,,
Women's Daytime Drop-In Center,/grants/grantee/women-s-daytime-drop-in-center,2017,"$10,000",Community,,
Abode Services,/grants/grantee/abode-services,2016,"$25,000",Community,,
ACLU Foundation of Southern California,/grants/grantee/aclu-foundation-of-southern-california,2016,"$25,000",Immigrant Rights,California Statewide and Local Policy,
Aim High for High School,/grants/grantee/aim-high-for-high-school,2016,"$1,000",Education Equity,College Access and Success,
Alameda Food Bank,/grants/grantee/alameda-food-bank,2016,"$10,000",Community,,
Alliance San Diego,/grants/grantee/alliance-san-diego,2016,"$35,000",Immigrant Rights,California Statewide and Local Policy,"To manage communications and humanitarian responses to the Haitian refugee crisis in San Diego. $35,000"
Alliance San Diego,/grants/grantee/alliance-san-diego,2016,"$200,000",Immigrant Rights,California Civic Participation,"To promote immigrant rights and civic participation in San Diego County. $200,000 over two years (2016-2018)"
Alliance San Diego,/grants/grantee/alliance-san-diego,2016,"$35,000",Leadership,Investing in Our Grantees,"For strategic planning and building a strong senior team. $35,000"
America's Voice Educational Fund,/grants/grantee/america-s-voice-educational-fund,2016,"$100,000",Immigrant Rights,Federal Immigration Reform,"To increase public support for executive actions to extend relief from deportation and legal job opportunities to millions of undocumented Americans. $100,000"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2016,"$200,000",Gay and Lesbian Rights,Litigation,"For the LGBT & AIDS Project to pursue litigation defending marriage equality and advancing nondiscrimination protections for LGBT people $200,000"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2016,"$25,000",Community,,
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2016,"$100,000",Gay and Lesbian Rights,Research & Communications,"For a national campaign to educate the public about the need to extend equal civil rights protections to LGBT people while safeguarding religious liberty. $100,000"
American Civil Liberties Union Foundation of Northern California,/grants/grantee/american-civil-liberties-union-foundation-of-northern-california,2016,"$10,000",Community,,
Anti-Defamation League,/grants/grantee/anti-defamation-league,2016,"$10,000",Community,,
Art for Oakland Kids,/grants/grantee/art-for-oakland-kids,2016,"$10,000",Community,,
Asian Americans Advancing Justice - Asian Law Caucus,/grants/grantee/asian-americans-advancing-justice-asian-law-caucus,2016,"$40,000",Leadership,Investing in Our Grantees,"To support executive transition and a strong partnership of the board and staff. $40,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2016,"$175,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Policy Center project to ramp up deportation defense to keep California families safe. $175,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2016,"$150,000",Immigrant Rights,California Civic Participation,"To build a strong Asian American Pacific Islander voice on state policies impacting immigrant communities ($150,000 over two years)"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2016,"$25,000",Community,,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2016,"$58,000",Leadership,Investing in Our Grantees,"To build the governance and bench strength of the California Immigrant Policy Center. $58,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2016,"$200,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Policy Center project to advance immigrant rights and integration policies. $200,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2016,"$55,000",Leadership,Investing in Our Grantees,"For organizational redesign to support growth and executive transition. $55,000"
Asian Americans/Pacific Islanders in Philanthropy,/grants/grantee/asian-americans-pacific-islanders-in-philanthropy,2016,"$2,500",Community,,
Asian Pacific Environmental Network,/grants/grantee/asian-pacific-environmental-network,2016,"$60,000",Leadership,Investing in Our Grantees,"To increase fundraising and develop a stronger organizational culture. $60,000"
Asian Pacific Environmental Network,/grants/grantee/asian-pacific-environmental-network,2016,"$100,000",Immigrant Rights,California Civic Participation,"To increase civic participation among marginalized communities in Alameda County and statewide. $100,000"
Association of Fundraising Professionals - Golden Gate Chapter,/grants/grantee/association-of-fundraising-professionals-golden-gate-chapter,2016,"$13,500",Community,,
Barnard College,/grants/grantee/barnard-college,2016,"$25,000",Gay and Lesbian Rights,Research & Communications,
Bay Area Women's and Children's Center,/grants/grantee/bay-area-women-s-and-children-s-center,2016,"$40,000",Community,,"For ongoing support and expanded programs for Tenderloin women, children and families. $40,000 over two years (2016-2018)"
Bay Area Women's and Children's Center,/grants/grantee/bay-area-women-s-and-children-s-center,2016,"$25,000",Community,,
Berkeley Food & Housing Project,/grants/grantee/berkeley-food-housing-project,2016,"$20,000",Community,,
Better Angels Society,/grants/grantee/better-angels-society,2016,"$50,000",Community,,"For Ken Burns and Dayton Duncan films, in honor of Ira Hirschfield. $50,000"
Black Alliance for Just Immigration,/grants/grantee/black-alliance-for-just-immigration,2016,"$5,000",Community,,
Black Alliance for Just Immigration,/grants/grantee/black-alliance-for-just-immigration,2016,"$10,000",Community,,
BoardSource,/grants/grantee/boardsource,2016,"$60,000",Leadership,Advancing Knowledge and Learning,"To strengthen nonprofit boards by advocating for best practices and extending the reach of governance tools and resources. $60,000"
BoardSource,/grants/grantee/boardsource,2016,"$10,000",Community,,
Breast Cancer Fund,/grants/grantee/breast-cancer-fund,2016,"$1,000",Community,,
Buck Institute for Age Research,/grants/grantee/buck-institute-for-age-research,2016,"$10,000",Community,,
Building Opportunities for Self-Sufficiency,/grants/grantee/building-opportunities-for-self-sufficiency,2016,"$25,000",Community,,
California Academy of Sciences,/grants/grantee/california-academy-of-sciences,2016,"$5,000",Community,,
California Budget and Policy Center,/grants/grantee/california-budget-and-policy-center,2016,"$75,000",Education Equity,PreK-12 Systems Change,"To analyze how state budget proposals affect the education of low- and middle-income students in California and to expand analysis of local education funding. $75,000 over two years (2016-2018)"
California Calls Education Fund,/grants/grantee/california-calls-education-fund,2016,"$200,000",Immigrant Rights,California Civic Participation,"To increase the civic participation of immigrants and African Americans in California. $200,000"
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2016,"$2,000",Community,,
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2016,"$30,000",Community,,"For the African American and Sister to Sister Breast Health Programs and the Kalmanovitz Child Development Center. $30,000"
Catholic Charities,/grants/grantee/catholic-charities,2016,"$20,000",Community,,
Center for American Progress,/grants/grantee/center-for-american-progress,2016,"$50,000",Gay and Lesbian Rights,Public Education,"To educate the public about the importance of protecting LGBT people from discrimination. $50,000"
Center for Community Change,/grants/grantee/center-for-community-change,2016,"$25,000",Community,,
Center for Community Change,/grants/grantee/center-for-community-change,2016,"$50,000",Leadership,Investing in Our Grantees,"To strengthen the executive leadership team and the pipeline of women and people of color. $50,000"
Center for Community Change,/grants/grantee/center-for-community-change,2016,"$200,000",Immigrant Rights,Federal Immigration Reform,"To support grassroots organizing and public education for immigration reform across the U.S. $200,000"
Center for Effective Philanthropy,/grants/grantee/center-for-effective-philanthropy,2016,"$5,000",Community,,
Center for Investigative Reporting,/grants/grantee/center-for-investigative-reporting,2016,"$25,000",Community,,
Children Now,/grants/grantee/children-now,2016,"$100,000",Education Equity,PreK-12 Systems Change,"To help San Francisco advocates influence the SFUSD budget to advance greater equity in student success. $100,000"
Children Now,/grants/grantee/children-now,2016,"$15,000",Education Equity,PreK-12 Systems Change,
Chinese for Affirmative Action,/grants/grantee/chinese-for-affirmative-action,2016,"$70,000",Immigrant Rights,California Statewide and Local Policy,"To promote Asian American civic participation and integration. $70,000"
Chinese for Affirmative Action,/grants/grantee/chinese-for-affirmative-action,2016,"$2,500",Immigrant Rights,California Statewide and Local Policy,
Chinese Progressive Association,/grants/grantee/chinese-progressive-association,2016,"$100,000",Immigrant Rights,California Civic Participation,"For the AAPIs for Civic Empowerment project to increase the civic participation of Asian American Pacific Islanders in California. $100,000"
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2016,"$9,800",Community,,
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2016,"$600,000",Community,,"For emergency support to families and individuals in the Bay Area. $600,000"
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2016,"$2,500",Community,,
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2016,"$100,000",Community,,"For general support, in honor of Ira Hirschfield. $100,000"
Coaching Corps,/grants/grantee/coaching-corps,2016,"$50,000",Community,,"For general support, in honor of Ira Hirschfield. $50,000"
Coaching Corps,/grants/grantee/coaching-corps,2016,"$5,800,000",Community,,"To scale the program's reach and impact. $5,800,000 over five years (2017-2021)"
Coaching Corps,/grants/grantee/coaching-corps,2016,"$15,000",Community,,
Coaching Corps,/grants/grantee/coaching-corps,2016,"$100,000",Community,,"For general support in honor of Wally Haas. $100,000"
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),/grants/grantee/coalition-for-humane-immigrant-rights-of-los-angeles-chirla,2016,"$2,500",Immigrant Rights,California Statewide and Local Policy,
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),/grants/grantee/coalition-for-humane-immigrant-rights-of-los-angeles-chirla,2016,"$54,000",Leadership,Investing in Our Grantees,"To build board and staff leadership in strategy, finance and fundraising. $54,000"
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),/grants/grantee/coalition-for-humane-immigrant-rights-of-los-angeles-chirla,2016,"$250,000",Immigrant Rights,California Statewide and Local Policy,"To advance immigrant rights and integration in Los Angeles and beyond. $250,000 (over two years)"
Coleman Advocates for Children and Youth,/grants/grantee/coleman-advocates-for-children-and-youth,2016,"$70,000",Education Equity,College Access and Success,"For the Students Making a Change project to amplify the voices of students in policy discussions at City College of San Francisco. $70,000"
Columbia University - Law School,/grants/grantee/columbia-university-law-school,2016,"$25,000",Gay and Lesbian Rights,Research & Communications,
Columbia University - Law School,/grants/grantee/columbia-university-law-school,2016,"$25,000",Gay and Lesbian Rights,Research & Communications,
Community Awareness & Treatment Services,/grants/grantee/community-awareness-treatment-services,2016,"$20,000",Community,,
Community Initiatives,/grants/grantee/community-initiatives,2016,"$50,000",Community,,"To strengthen strategic communications to advance the work of Haas, Jr. Fund grantees. $50,000"
Community Initiatives,/grants/grantee/community-initiatives,2016,"$100,000",Community,,"To strengthen strategic communications to advance the work of Haas, Jr. Fund grantees. $100,000"
Community Initiatives,/grants/grantee/community-initiatives,2016,"$50,000",Education Equity,PreK-12 Systems Change,"For the Parent Advisory Council project to give parents a voice in shaping school district policies in San Francisco. $50,000"
CompassPoint Nonprofit Services,/grants/grantee/compasspoint-nonprofit-services,2016,"$100,000",Leadership,Advancing Knowledge and Learning,"To pilot ways for organizations to adopt a culture of philanthropy and to update its executive transition management practice. $100,000 over 18 months (2016-2018)"
CompassPoint Nonprofit Services,/grants/grantee/compasspoint-nonprofit-services,2016,"$15,000",Community,,
CompassPoint Nonprofit Services,/grants/grantee/compasspoint-nonprofit-services,2016,"$10,000",Community,,
Congregation Sha'ar Zahav,/grants/grantee/congregation-sha-ar-zahav,2016,"$25,000",Community,,
Contemporary Jewish Museum,/grants/grantee/contemporary-jewish-museum,2016,"$1,000",Community,,
Council on Foundations,/grants/grantee/council-on-foundations,2016,"$25,000",Community,,
Define American,/grants/grantee/define-american,2016,"$200,000",Immigrant Rights,Federal Immigration Reform,"To help change national dialogue about immigrants and enlist new allies in the movement for reform. $200,000 over 2 years (2016-2018)"
Dolores Street Community Services,/grants/grantee/dolores-street-community-services,2016,"$25,000",Community,,
Dorothy Day House,/grants/grantee/dorothy-day-house,2016,"$10,000",Community,,
East Bay Asian Youth Center,/grants/grantee/east-bay-asian-youth-center,2016,"$1,000",,,
EdSource,/grants/grantee/edsource,2016,"$85,000",Education Equity,PreK-12 Systems Change,"To provide news analyses of key education reform issues in California. $85,000 over two years (2016-2018)"
Education Trust,/grants/grantee/education-trust,2016,"$125,000",Education Equity,PreK-12 Systems Change,"For Education Trust-West to analyze how high-achieving school districts are using the Local Control Funding Formula (LCFF) to advance education equity. $125,000"
Educational Results Partnership,/grants/grantee/educational-results-partnership,2016,"$25,000",Education Equity,PreK-12 Systems Change,
